epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,514.882,1.18597,0.79787,1.10342,0.84019,0.826,0.87044,0.5486,1.19184,0.83781,1.13737,0.000806528,0.000806528,0.000806528
68,521.913,1.15972,0.81925,1.10278,0.81113,0.84267,0.87115,0.53719,1.20723,0.8484,1.13639,0.000797096,0.000797096,0.000797096
69,528.872,1.15548,0.7898,1.09263,0.80237,0.84332,0.87513,0.5538,1.18881,0.85579,1.13944,0.000787665,0.000787665,0.000787665
70,535.829,1.1829,0.83521,1.12061,0.80348,0.84819,0.87416,0.55667,1.1828,0.85418,1.13588,0.000778233,0.000778233,0.000778233
71,542.686,1.18515,0.81429,1.10149,0.79931,0.85425,0.87757,0.55444,1.183,0.84804,1.1347,0.000768802,0.000768802,0.000768802
72,549.781,1.17238,0.80145,1.10368,0.84504,0.81666,0.88136,0.55386,1.18757,0.84697,1.14763,0.000759371,0.000759371,0.000759371
73,556.838,1.14006,0.76944,1.08068,0.84754,0.82333,0.89176,0.56567,1.18965,0.84126,1.14898,0.000749939,0.000749939,0.000749939
74,563.763,1.1404,0.80303,1.09768,0.86121,0.80933,0.89335,0.56894,1.19471,0.84729,1.14783,0.000740508,0.000740508,0.000740508
75,570.612,1.14235,0.78564,1.08813,0.80148,0.85244,0.89384,0.56964,1.19941,0.86369,1.15432,0.000731076,0.000731076,0.000731076
76,577.535,1.17604,0.79334,1.10825,0.8042,0.85387,0.89314,0.5708,1.19963,0.8703,1.16283,0.000721645,0.000721645,0.000721645
77,584.523,1.20421,0.78213,1.09744,0.81683,0.8389,0.88991,0.56134,1.20529,0.85089,1.15499,0.000712214,0.000712214,0.000712214
78,591.438,1.14213,0.78013,1.09921,0.81817,0.84012,0.88466,0.55934,1.19889,0.84352,1.15355,0.000702782,0.000702782,0.000702782
79,598.377,1.15828,0.78101,1.08906,0.83937,0.81135,0.87844,0.55433,1.19168,0.84467,1.15056,0.000693351,0.000693351,0.000693351
80,605.369,1.16121,0.7938,1.10275,0.8443,0.8087,0.88224,0.55998,1.1768,0.84242,1.1444,0.000683919,0.000683919,0.000683919
81,612.346,1.14288,0.76621,1.07309,0.82843,0.81353,0.88365,0.56238,1.17058,0.85007,1.13788,0.000674488,0.000674488,0.000674488
82,619.335,1.10888,0.76746,1.07493,0.85743,0.80252,0.88817,0.56049,1.17582,0.85856,1.1425,0.000665057,0.000665057,0.000665057
83,626.296,1.13108,0.7749,1.08671,0.85348,0.80388,0.88983,0.56692,1.18502,0.85598,1.14897,0.000655625,0.000655625,0.000655625
